abacial,adjetivo_inicia_con_a
abadengo,monastico/clerical/eclesiastico/monacal/abacial
abajena,adjetivo_inicia_con_a
abajeno,adjetivo_inicia_con_a
abandonado,vulnerable/descuidado/indefenso/libre/holgazan/bohemio
abandonista,que_abandona
abanto,adjetivo_inicia_con_a
abarcable,adjetivo_inicia_con_a
abasi,adjetivo_inicia_con_a
abatanada,adjetivo_inicia_con_a
abatanado,adjetivo_inicia_con_a
abayada,adjetivo_inicia_con_a
abayado,adjetivo_inicia_con_a
abdominal,del_abdomen
aberrante,adjetivo_inicia_con_a
abertal,adjetivo_inicia_con_a
aberzale,adjetivo_inicia_con_a
abestiado,agreste/feroz/arisco/silvestre/bravo/salvaje/montaraz
abetunado,graso/bituminado/bituminoso/oleoso
abierto,sencillo/comprensible/rajado/libre/afable/franco/carinoso
abigarrado,sobrecargado/barroco/pomposo/heterogeneo/estrambotico
abigotado,mostachudo/bigotudo
abisal,adjetivo_inicia_con_a
abisinio,etiope
abismal,muy_grande
abobado,grogui/estupido/informal/badulaque/simple/lelo/bobo
abocinado,acampanado/atrompetado/acampado
abolicionista,a_favor_abolicion
abombado,salido/chafado/protuberante/ahuevado/saliente/prominente
abonado,apuntado/escrito/registrado/inscrito/anotado
abordable,que_se_puede-abordar
aborigen,habitante_del_lugar
abortista,a_favor_aborto
abovedado,adintelado/combado/alabeado/curvado/corvo/arqueado
abrasador,ardiente/irritante/urticante/vesicante/urente
abreviado,escueto/momentaneo/simplificado/efimero/seco/conciso
abridor,abrelatas/abrebotellas
abrigada,prenda_de_vestir_calida
abrillantador,limpiador/limpiabotas/lustrador/brunidor
abrillantadora,limpiadora/limpiabotas/lustradora/brunidora
abrupta,femenino_dedesigual/quebrado/intrincado/rocoso/seco
abrupto,desigual/quebrado/intrincado/rocoso/seco/sinuoso/escabroso
absolutista,a_favor_absoluto
absoluto,ilimitado/incondicional/rotundo/completo/absolutista
absolutorio,eximente/exculpatorio
absorbente,excitante/electrizante/estimulante/arrebatador/apasionante
absorto,boquiabierto/distraido/abismado/atonito/pensativo
abstemia,sobria/noconsumelicor
abstemio,aguado/sobrio/enofobo/frugal
abstencionista,a_favor_absetencion
abstracto,impreciso/conceptual/universal/general/ideal/puro
abstraido,ensimismado/concentrado/absorto/pasmado/caviloso/pensativo
